HNUM_PK,CNUM,CNAME,HTITLE,HDATE,HSTATE,HCARR,HEDU,HSALARY,HTYPE,HDAY,HLEV,HPOS,HPART,HQF,HPER,HHEAL,HSTEP,HAPP,HDOC,HNOTIC
1,1,(주)지디텍,"머신비전 검사장비 개발자 모집(제어시스템, 광학검토 및 응용, C++및 MFC S/W 개발자, 기구설계)",2024.02.04,경기 안양시 동안구,신입·경력,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
유연근무제 
09:30~18:00",면접 후 결정,,"비전 검사 장비 
제어 S/W개발 
검사 S/W개발",초대졸 이상,"관련학과 전공자(신입)
동종업계 근무경험자(경력)","급여제도: 퇴직연금,휴일(특근)수당,4대보험
출퇴근: 통근버스 운행
교육/생활: 구내식당(사원식당),점심식사제공,저녁식사제공
리프레시: 연차,반차,근로자의날휴무,휴가비지원,산전후휴가,남성출산휴가",0,입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
2,2,(주)에스에스티랩,보안검색장비 소프트웨어 설계 사원 채용,상시채용,경기고 성남시 분당구,신입·경력 10년↓,학력무관,회사내규에 따름,정규직,0,개발자,,"X-ray Generator 및 관련기기 제어 S/W 개발
X-ray 영상의 획득과, 이미지데이터의 자동판독을 위한 학습 툴 개발
엑스선 영상에 대한 분석 및 후처리 기술 연구 및 구현
다양한 물리구조에 적합합 3D 영상재구성 알고리즘 연구 개발
2D/3D Viewer 개발","경력 무관
공학계열
Visual Studio C++/MFC 등 응용프로그램 개발 경험자
상기 요건과 동등한 자격이 있다고 판단되는 분 지원가능","산업용 보안검색장비 소프트웨어 개발 경험자
X-ray,CT S/W 경험자
서버구축, 클라우드 플랫폼 활용 및 운용 경험자
GUI 설계 경력자
DSP 경험자(F/W 연동, GUI 연동 등)
Tool: C++/MFC 능숙자, C# 능숙자, MATLAB 능숙자
영어 또는 중국어 가능자",0,서류전형 > 면접전형 > 최종합격,"사람인 입사지원,점핏에서 지원",0,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
3,3,(주)나이콤,[신입/경력] SW개발자(Java/.NET/C#/C/C++) 인재 모집,2024.01.26,경기 안양시 동안구,신입·경력 10년↓,"대졸(2,3년제) 이상",면접 후 결정,정규직,"주 5일(월~금)
09:00~18:00",팀원,,"C/C++ 기반의 소프트웨어 개발
Windows 또는 Android APP개발
장치제어 및 GUI 개발","초대졸 이상
C, C++, C#, .NET 사용 가능 자","1개 이상 언어 능통자
관련학과 졸업자
개발에 대한 전문 지식 및 알고리즘 이해도가 높은 분
유관 부서와 원만한 소통 가능자","지원금/보험: 건강검진,직원대출제도,단체상해보험,복지카드/포인트
급여제도: 퇴직연금,장기근속자포상,우수사원포상,퇴직금
선물: 창립일선물지급,장기근속선물
교육/생활: 워크샵,교육비지원,사우회(경조사회),간식제공,음료제공(차,커피)
근무환경:휴게실,회의실,카페테리아,사원증,안마실/안마의자
조직문화: 자유복장
출퇴근: 회사차량있음,주40시간제시행
리프레시: 연차,반차,근로자의날휴무,산전후휴가,육아휴직",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,지원서 내용이 사실과 다른 것으로 판명될 경우 합격 또는 채용이 취소될 수 있습니다.
4,4,주식회사 넥스버,임베디드 리눅스 C/C++ SW 개발/ 기술지원,2024.01.25,경기 안양시 동안구,신입·경력,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",면접 후 결정,,"임베디드 S/W (Linux기반)관련 개발 및 프로젝트 진행
임베디드 카메라 관련 S/W 개발 및 기술 지원
Nvidia Jetson기반 H/W 인터페이스 기반 S/W구현",경력 무관,"임베디드(Linux OS) 관련 S/W 개발 및 프로젝트 진행 경험자
임베디드 카메라 관련 SW 개발 및 기술지원 경험자
Nvidia Jetson 기반 H/W 인터페이스 기반 S/W 구현 경험자
gcc,g++ 컴파일 환경 개발
컴파일러에 대한 이해 및 makefile 작성
Qt framework 사용","지원금/보험: 건강검진
급여제도: 퇴직연금,인센티브제,우수사원포상,4대보험
교육/생활: 점심식사제공
근무환경: 사원증
출퇴근:차량유류비지급,주차장제공,주차비지원
리프레시: 연차",서류전형 > 면접전형 > 최종합격,입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
5,5,보은전자방송통신(주),"S/W 개발자 신입 채용(윈도우,C#/WPF,C/C++,연봉 3700만)",2024.01.23,서울 강서구,신입,학력무관,"연봉 3,700만원(주40시간)",정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00","연구원,사원/팀원",,"PC기반의 S/W제품 개발(영상 녹화, 스트리밍, 미러링, AI영상분석 등)
모바일 영상처리 앱 개발(녹화, 스트리밍)","C, C++, C#, WPF 윈도우 프로그래밍","안드로이드, ios 앱 개발","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,성과급,직책수당,장기근속수당,4대보험
선물: 명절선물/귀향비
교육/생활: 우수사원시상식,신규입사자교육(OJT),도서구입비지원,점심식사제공,저녁식사제공,식사비지원,음료제공(차,커피)
근무환경: 회의실,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 주차장제공
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무,산전후휴가,육아휴직",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
6,6,인텔릭스(주),소프트웨어(S/W) 개발자 모집,2024.03.02,경기 성남시 분당구,신입·경력 15년↓,대졸(4년제) 이상,면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
08:30~17:30",팀원,,GUI소프트웨어 개발(C# WPE /C++ Qt,"C, C++, C#, Java 중 1개 이상 언어 능통
임베디드 리눅스 개발 유 경험자
해외여행에 결격사유가 없으신 분",인근 거주자,"지원금/보험:건강검진,각종경조사지원,헬스비지급,자녀학자금
급여제도: 퇴직연금,상여금,장기근속자포상,퇴직급,성과급,직책수당,4대보험
선물:명절선물/귀향비,창립일선물지급,생일선물/파티
교육/생활: 신규입사자교육(OJT),직무능력향상교육,구내식당(사원식당),점심식사제공,음료제공(차,커피)
근무환경: 휴게실,회의실,노트북,콘도/리조트이용권,사무용품지급,최고성능컴퓨터
조직문화: 노조/노사협의회,회식강요안함,야근강요안함,자유복장,자유로운연차사용,칼퇴근보장
출퇴근:야간교통비지급,주차비지원,회사차량있음,주52시간제준수,주40시간제시행
리프레시: 연차,경조휴가제,반차,Refresh휴가,창립일휴무,근로자의날휴무,휴가비지원,육아휴직,남성출산휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"서류전형 합격인원에 한해 면접 일시 장소 개별통보 예정
회사에 대한 상세정보는 회사 홈페이지 참조
기타 증빙서류는 합격 후 제출
제출한 서류는 반환되지 않음"
7,7,(주)태영소프트,"VisualC,C++,MFC 개발자 정규직 모집합니다",2024.02.04,"서울 서대문구, 경기 안양시 동안구",무관(신입 포함),학력무관,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금),개발자,,"VisualC, C++, MFC 개발",경력 무관,"C,C++,MFC","지원금/보험: 통신비지원
급여제도: 퇴직금,휴일(특근)수당,4대보험
선물: 명절선물/귀향비
교육/생활: 도서구입비지원,저녁식사제공,음료제공(차,커피)
근무환경:사무용품지급
조직문화:회식강요안함,야근강요안함,자유복장,자유로운연차사용,출산장려
리프레시:연차,여름휴가,반차,창립일휴무,근로자의날휴무,육아휴직",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
8,8,참엔지니어링(주),"참엔지니어링㈜ 영상처리(Vision)개발 인재 채용(C++,C#)",2024.02.09,경기 용인시 처인구,신입·경력 3년 ↑,대졸(4년제) 이상,면접 후 결정,정규직,09:00~18:00,팀원,,"검사 알고리즘 개발(반복 패턴 내 비정형 형상 검사 / 분류 알고리즘)
Reference패턴 영상 사용한 위치 탐색 및 좌표 변환
Repair 설비의 자동화를 위한 영상 처리
고객사 기술지원",경력 무관,"영상처리 알고리즘(C#) 개발 경험자
영상처리 라이브러리 경험자(OpenCV 등)
해외 근무 가능자","지원금/보험: 건강검진,각종경조사지원,단체상해보험
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,휴일(특근)수당,장기근속수당,4대보험
선물: 명절선물/귀향비,창립일선물지급
교육/생활: 구내식당(사원식당),사내동호회 운영,사우회(경조사회),식비지원
근무환경:회의실,사원증,사무용품지급
조직문화:자유복장
출퇴근:기숙사운영,통근버스운행,자율근무제
리프레시:산전후휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
9,9,(주)씨코드,"Linux based 차량용 SW개발자(C/C++) 모집 (신입,경력)",2024.02.29,"경기 용인시 기흥구, 성남시 분당구, 수원시 영통구, 용인시 수지구",무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직,"주 5일(월~금)
09:00~18:00","책임연구원,연구원,선임연구원",,Linux 기반 차량용 SW 개발업무,"경력 무관
C/C++를 이용한 개발 업무 진행 가능한 분","전기/전자공학, 컴퓨터/시스템공학, 공학계열
정보처리기사 자격증 보유자
해당 직무 (인턴) 경력 또는 유사 직무 경험이 있으신 분
JNI(Java Native Interface) 또는 NDK(Native Development Kits on Android Base) 개발 가능자 및 경험자
Radio(FM,AM,DAB 등), DMB 등 Broadcasting 관련 개발 경험자
컴퓨터 활용능력 및 기술문서 작성에 어려움이 없는 분","지원금/보험: 건강검진,직원대출제도,각종경조사지원,업무활동비지급,문화생활비,해외여행지원,복지카드/포인트
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,퇴직금,야근수당,휴일(특근)수당,직책수당,장기근속수당,4대보험
선물: 명절선물/귀향비,창립일선물지급,결혼기념일선물,도서무제한제공,임신/출산선물,장기근속선물
교육/생활: 창립일행사,우수사원시상식,워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,멘토링제도,교육비지원,자기계발비지원,점심식사제공,사내동호회운영,간식제공,음료제공(차,커피)
근무환경: 휴게실,회의실,공기청정기,노트북,사원증,콘도/리조트이용권,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 야간교통비지급,탄력근무제,주52시간제준수
리프레시: 연차,여름휴가,경조휴가제,반차,근로자의날휴무,포상휴가,육아휴직,남성출산휴가,보건휴가",서류전형 > 면접전형 > 최종합격,"입사지원,우편지원,방문지원,전화지원",사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
10,10,(주)맥사이언스,검사장비 소프트웨어(S/W) 개발자 채용,2024.02.10,경기 수원시 영통구,무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",팀원,,검사 장비 소프트웨어 개발,"경력 무관
VB.net, C#등 사용 가능자
고객사 현장 업무 가능자","WinForm, WPF 경험자
컴퓨터/시스템공학, 공학계열
컴퓨터활용능력 우수, 인근거주가, 해외근무 가능자, 운전가능자","지원금/보험: 건강검진,각종경조사지원,통신비지원,자녀학자금
급여제도: 인센티브제,장기근속자포상,스톡옵션,퇴직금,4대보험
근무환경: 회의실,카페테리아,노트북,사원증,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영,회사차량있음",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
11,11,(주)위즈코리아,(주)위즈코리아/(주)위즈COK ‘24년 상반기 신입/경력 사원 모집,2024.02.13,"서울 강서구, 서울, 대구, 광주, 대전, 강원, 아시아 중동 베트남 일본",신입·경력,학력무관,면접 후 결정,정규직,0,0,,"C, C++ 등 C계열 개발
NW 프로그램(서버/클라이언트)","C, C++ 가능자",NW 프로토콜 분석 유경험자,"편의시설,재택근무,생활편의,시차출근제,여가지원,성과보상제도,특별휴가/휴무제도,경조지원,신규입사자주거지원,교육지원,의료지원,법률지원,상해보험지원,기타(청년내일채움공채),기본사항(4대보험)",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,자기소개서",0
12,12,(주)듀얼아이,임베디드 안드로이즈 개발자,2024.02.02,"서울 금천구, 서울, 경기 광명시, 군포시, 부천시, 안양시",신입·경력 2~15년,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",면접 후 결정,,"웹기반 플랫폼에서 임베디드 시스템
보안분야 및 결제분야",임베디드 어플리케이션 개발에 경험이 있는 분,"전기/전자공학, 컴퓨터/시스템공학
인근거주자,운전가능자","지원금/보험: 단체상해보험,본인학자금,자녀학자금
급여제도: 퇴직연금,상여금,장기근속자포상,성과급,야근수당,연차수당,4대보험
선물: 생일선물/파티,장기근속선물
교육/생활: 워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,외국어교육지원,저녁식사제공,사내동호회운영,식비지원
근무환경: 휴게실,회의실,공기청정기,노트북,사원증,사내도서관,사무용품지급
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 기숙사운영,회사차량있음,재택근무,주52시간제준수
리프레시: 연차,경조휴가제,근로자의날휴무,산전후휴가",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,자유양식,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
해당 공고는 수시로 확인하여 면접진행하며, 채용시 사전공지 없이 마감될 수 있습니다."
13,13,(주)베이론텍,C/C#/VC++ 개발자 채용(정규직),2024.02.11,서울 구로구,무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00","대리,과장,사원",,SW개발,"경력 무관
운전가능자","전기/전자공학, 컴퓨터/시스템공학, 기계/자동차/조선공학
정보처리기사
영어가능자, 컴퓨터활용능력 우수, 해당직무 근무경험","지원금/보험: 금연수당,각종경조사지원,헬스비지급,본인학자금,자녀학자금
급여제도: 인센티브제,장기근속자포상,우수사원포상,퇴직금,휴일(특근)수당,연차수당,가족수당,4대보험
선물: 명절선물/귀향비,생일선물/파티
교육/생활: 구내식당(사원식당),점심식사제공,저녁식사제공,사내동호회운영,식비지원,음료제공(차,커피)
근무환경:회의실,노트북,콘도/리조트이용권,사무용품지급
조직문화:자유복장
출퇴근:회사차량있음
리프레시:남성출산휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"사람인 이력서,최종학력증명서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
14,14,(주)아이엠에스나노텍,SW개발자 경력/신입 채용합니다 – 정규직,2024.01.31,서울 구로구,신입·경력 1~3년,대졸(4년제) 이상,면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",팀원,,"반도체 자동화장비 제어 SW 개발, UI, 영상처리 개발",경력 무관,"컴퓨터/시스템공학
공과계열, 석사",0,서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
15,15,(주)엔클로니,"[신규프로젝트팀] 선행 연구 개발(SW), 비전 장비 개발",상시채용,"서울 전체, 서울 구로구",신입·경력 5년↓,대졸(4년제) 이상,회사내규에 따름,정규직,0,팀원,,"S/W 개발 또는 임베디드
비전영상처라(c++,CUDA 등)
제약 검사 장비 외(영상처리)","경력 무관
비전영상처리(C++, CUDA)","창의적이고 스마트한 열정 소유자
영어역량 비지니스 회화 가능자
대내외 원활한 커뮤니케이션 역량 보유","기업분위기는 제조와 IT가 접목된 분위기이며, 신규프로젝트팀은 사옥 외 별도 사무실에 편안하게 신규개발팀입니다.
사람을 중시 문화이며, 근태, 복장 등 무관합니다.
연봉 수준: 개인역량에 따라 협의(업계최고 대우)
자유로운 연차 사용, 샌드위치 휴가, 리프레시휴가(하계/동계 약 10일간),경조휴가,장기근속자수상,카페테리아운영,생일자 상품권 지급, 명절선물지급 등",서류전형 > 1차면접 > 2차면접 > 최종합격,"사람인 입사지원,점핏에서 지원",0,"3개월의 수습 기간이 있습니다.(수습기간 동일 급여와 복리후생 보장)
포트폴리오 제출 시, 10MB 초과할 경우에는 링크를 기재해주세요.
서류합격자에 한해 연락드립니다.
본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
16,16,(주)예인시스템,2024년 정규 C# 응용 프로그램 개발자 신입&경력 모집,2024.03.15,서울 구로구,무관(신입 포함),"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",개발자,,c#응용 프로그램 개발,"경력 무관
안전운전가능자","해당 직무(물류자동화 및 공장자동화) 근무경험
프로그래밍 언어 활용(개발) 경험
안드로이드 개발 경험
인근거주자","지원금/보험: 통신비지원,자녀학자금
급여제도: 인센티브제,퇴직금,휴일(특근)수당,4대보험
선물: 명절선물/귀향비,생일선물/파티
교육/생활: 워크샵,교육비지원,사우회(경조사회)
근무환경: 유니폼지급,노트북,콘도/리조트이용권
조직문화: 자유복장
출퇴근: 주택자금융자
리프레시: 연차,여름휴가,휴가비지원",서류전형 > 면접전형 > 최종합격,사람인 입사지원,자유양식,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
17,17,(주)이지디에스,"자동차 진단기(C#) 프로그램 개발자 채용합니다.(신입,경력)",2024.01.22,서울 송파구,무관(신입 포함),고교졸업 이상,면접 후 결정,정규직 수습기간 3개월,08:30~17:30,"사원,대리",,자동차 전장 검사기 또는 진단기 S/W 개발 및 유지보수,경력 무관,"WPF,C# 프로그램 개발 경험자
컴퓨터/전산학/시스템공학등 공학계열
영어가능자, 해당직무 근무경험
프로그램 개발 관련 경력을 쌓고자 하는 분","지원금/보험: 건강검진
급여제도: 퇴직연금,인센티브제,우수사원포상,퇴직금,4대보험
선물: 명절선물/귀향비,창립일선물지급
교육/생활: 워크샵,저녁식사제공,음료제공(차,커피)
근무환경: 노트북,사무용품지급
조직문화: 자유복장
출퇴근: 주차장제공
리프레시: 연차,경조휴가제,창립일휴무,근로자의날휴무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
18,18,(주)힘스,[면접비 지급] 머신 비전 프로그래머 신입 및 경력 모집,2024.02.07,"인천 남동구, 충남 아산시, 천안시",신입·경력(년수 무관),"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
09:00~18:00",팀원,,"Vision Algorithm 개발
Vision Image Processing
Vision UI, DLL제작",경력 무관,"C,C++,C# 사용가능자 및 경험자
비전 라이브러리 사용한 개발 역량 보유자
공학계열 졸업자
해당직무 경험 및 인근 거주자
해외 출장 및 출장업무 가능자","지원금/보험: 건강검진,직원대출제도,각종경조사지원,단체상해보험,체력단련실운영,자녀학자금
급여제도: 퇴직연금,인센티브제,상여금,장기근속자포상,우수사원포상,스톡옵션,퇴직금,성과급,야근수당,휴일(특근)수당,직책수당,4대보험
선물: 명절선물/귀향비,창립일선물지급
교육/생활: 창립일행사,워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,외국어교육지원,자격증취득지원,교육비지원,자기계발비지원,구내식당(사원식당),점심식사제공,저녁식사제공,사내동호회운영,사우회(경조사회),아침식사제공,간식제공,음료제공(차,커피),우리사주제도
근무환경: 수유실,휴게실,회의실,공기청정기,카페테리아,전용사옥,건물내경사로,장애인전용주차장,비상경보장치,문턱없음,유니폼지급,노트북,사원증,콘도/리조트이용권,사무용품지급,최고성능컴퓨터
조직문화: 노조/노사협의회,수평적조직문화,회식강요안함,자유복장,자유로운연차사용
출퇴근: 기숙사운영,차량유류비지급,주차장제공,탄력근무제,주52시간제준수
리프레시: 연차,경조휴가제,반차,창립일휴무,근로자의날휴무,산전후휴가,육아휴직,남성출산휴가,보건휴가,휴양시설제공",서류전형 > 인적성검사 > 코딩테스트&면접 > 최종합격,사람인 입사지원,"사람인 이력서,자기소개서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
19,19,(주)씽크소프트,개발자 채용 자동화 물류/반송 설비 PC제어 S/W 개발 신입 경력,2024.01.17,충남 아산시,신입·경력(년수 무관),학력무관,면접 후 결정,정규직 수습기간 3개월,"주 5일(월~금)
유연근무제
09:00~18:00","주임연구원,선임연구원,책임연구원",,"자동화 설비 PC제어 솔루션 개발 및 셋업
패널 반송 로봇 물류, 패널 이송 컨베이어 물류 등","경력 무관
해외출국 결격사유 없는 분
C# 개발자","전기/전자공학, 컴퓨터/시스템공학,공학계열
해당직무 근무경험","지원금/보험: 건강검진
급여제도: 퇴직연금,장기근속자포상,우수사원포상,성과급,야근수당,휴일(특근)수당,4대보험
선물: 생일선물/파티,도서무제한제공
교육/생활: 우수사원시상식,워크샵,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,교육비지원,자기계발비지원,점심식사제공,저녁식사제공,사우회(경조사회),간식제공,음료제공(차,커피),점심시간연장제도
근무환경: 회의실,공기청정기,카페테리아,게임기,전용사옥,노트북
조직문화: 수평적조직문화,회식강요안함,야근안함,자유복장,자유로운연차사용,문화회식
출퇴근: 기숙사운영,주차장제공,회사차량있음,주4.5일
리프레시: 연차,경조휴가제,반차,근로자의날휴무,산전후휴가,육아휴직,남성출산휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,포트폴리오",0
