HNUM_PK,CNUM,CNAME,HTITLE,HDATE,HSTATE,HCARR,HEDU,HSALARY,HTYPE,HDAY,HLEV,HPOS,HPART,HQF,HPER,HHEAL,HSTEP,HAPP,HDOC,HNOTIC
38,38,(주)쎄크,PC 제어(시스템제어팀),상시채용,경기도 수원시 권선구 산업로 155번길 111,신입·경력 10년↓,"대졸(2,3년제)이상",회사 내규에 따름,정규직 (수습기간 6개월),"주 5일 (월 ~ 금) 
08:30 ~ 17:30",팀원,,"비전 및 검사시스템 개발(외관검사 알고리즘, 영상처리)","학력:대졸이상(2,3년)
C++, C# 중 한가지 언어로 프로그래밍이 가능한 사람
영상처리 활용능력 보유","C언어 및 임베디드 CPU 활용이 가능하신 분
C++,MFC 활용이 가능하신 분
검사/자동화 장비 제어업무 경험이 있으신 분","지원금/보험: 건강검진,금연수당,직원대출제도,각종경조사지원,체력단련실운영,업무활동비지급
급여제도: 장기근속자포상,우수사원포상,퇴직금,4대보험
선물:명절선물/귀향비,창립일선물지급,생일선물/파티,결혼기념일선물
교육/생활: 창립일행사,우수사원시상식,워크샵,플레이샵,신입사원교육(OJT),직무능력향상교육,외국어교육지원,교육비지원,구내식당(사원식당),점심시간제공,저녁식사제공,사내동호회운영,사우회(경조사회),아침식사제공,음료제공(차,커피)
근무환경: 회의실,전용사옥,사내정원,건물내경사로,유도점자블록,장애인엘리베이터,문턱없음,유니폼지급,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영
리프레시: 연차,창립일휴무,산전후휴가,육아휴직",0,"사람인 입사지원,점핏에서 지원",0,0
39,39,(주)지비티코리아,MCU/펌웨어/임베디드/C/C++ 신입사원 채용,2024.01.31,경기 군포시 당정로 90,신입,"대졸(2,3년제)이상(예정자 가능)",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
09:00 ~ 18:00","선임연구원,책임연구원,수석연구원",,"회로 및 전장 설계
펌웨어 설계
-구동부제어
-모터 제어 관련 펌웨어 개발",대학졸업 이상(졸업예정자 가능),"C/C++/펌웨어/임베디드/MCU 유관 경험자
PCB Artwork
마이크로프로세서 경험자(AVR 등)","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,상여금,장기근속자포상,장기근속수당,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,신규입사자교육(OJT),도서구입비지원,교육비지원,점심식사제공,저녁식사제공,음료제공(차,커피)
근무환경: 회의실,카페테리아,유니폼지급
조직문화: 자유복장
리프레시: 연차,여르뮿가,반차,근로자의날휴무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,"이력서,자기소개서,졸업증명서,성적증명서,자격증 사본",0
40,40,스냅태그(주),[스냅태그 연구소]Invisible Watermark C++ 개발자 모집,상시채용,경기도 성남시 분당구 황새울로 359번길 경림빌딩 7,무관(신입 포함),"대졸(2,3년제)이상",면접 후 결정,정규직 (수습기간 3개월),"주 5일 (월 ~ 금) 
출근08:00 ~ 10:00
퇴근:17:00 ~ 19:00",팀원,,"인비지블 워터마크의 비가시성 및 인식률을 향상시키는 연구
워터마크 생성, 인식 시간 단축 및 메모리 최적화 연구
OS별 실행파일, 라이브러리 빌드 및 배포","학력:4년제 대학 졸업
C++ 가능한자","이미지 프로세싱 경험
이미지의 주파수 영역에 대해 알고 있는 사람
라이브러리를 제작해본 경험이 있는 사람
Ios, Android 환경에서 C++을 사용해본 경험
OpenCV를 다루어본 경험","지원금/보험: 통신비지원,복지카드/포인트
급여제도: 퇴직금,연차수당
선물: 명절선물/귀향비,웰컴키트지급
교육/생활: 점심시간제공,간식제공,음료제공(차,커피)
조직문화: 자유로운 연차사용",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,0
41,41,(주)그린텍시스템,제어프로그램 개발자(C·C++&C# 외 1개 부문) 채용,2024.01.31,경기 수원시 권선구,신입·경력 3년 ↑,대졸(4년제) 이상(예정자 가능),"연봉 3,500만원(주 40시간)",정규직 수습기간 3개월,08:00~17:00,"연구원,주임연구원,선임연구원",,제어프로그램(PC프로그램) 개발,0,"전기/전자공학, 컴퓨터/시스템공학,공학계열 해당직무 근무경험","지원금/보험: 건강검진,의료비지원(본인),직원대출제도,각종경조사지원,선택적복리후생
급여제도: 퇴직연금,인센티브제,휴일(특근)수당,연차수당,4대보험
선물: 명절선물/귀향비,생일선물/파티
교육/생활: 우수사원시상식,워크샵,도서구입비지원,멘토링제도,교육비지원,자기계발비지원,점심식사제공,저녁식사제공,음료제공(차,커피)
근무환경: 회의실,카페테리아,전용사옥,노트북,사무용품지급
조직문화: 자유복장
출퇴근: 기숙사운영,차량유류비지급,야간교통비지급,주차장제공,주차비지원,회사차량있음
리프레시: 연차,여름휴가,경조휴가제,근로자의날휴무,휴가비지원,포상휴가,휴양시설제공",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"이력서,포트폴리오,인적성검사서","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
42,42,봄텍전자주식회사,기술연구소 연구원 모집,2024.02.15,서울 강서구,무관(신입 포함),대졸(4년제) 이상,면접 후 결정,"정규직,계약직",주 5일(월~금) 09:00~18:00,면접 후 결정,,기술연구소 연구원,0,"전기/전자공학, 컴퓨터/시스템공학,공학계열
해당직무 근무경험
영상처리 개발 경력자 우대
SW: 앱개발(Android,iOS등)IT 개발 경력자
PC Program 개발 경력자
C++,Image processing, 영상처리 경력자","급여제도: 퇴직연금,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,직무능력향상교육,음료제공(차,커피)
조직문화: 회식강요안함,야근강요안함,자유복장
리프레시: 연차,경조휴가제,반차,근로자의날휴무,산전후휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
43,43,(주)아울시스템즈,보안 S/W개발 (C/C++/C#) 경력직 채용,2024.01.28,서울 영등포구,경력(년수무관),고교졸업 이상,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,"선임연구원,주임연구원/팀원",,"Linux/Unix 기반 자사 솔루션 개발 및 유지관리
자사솔루션 커널 개발 및 유지관리",0,"IT 관련 전공
동일 업종/직무(IT/정보보호) 경험자
정보처리 및 정보보안 관련 자격 소지자
컴퓨터활용능력 우수
인근거주자
해당직무 인턴경력","지원금/보험: 각종경조사지원
급여제도: 퇴직금,4대보험
선물: 명절선물/귀향비,생일선물/파티,장기근속선물
교육/생활: 식비지원,음료제공(차,커피)
근무환경: 휴게실,노트북,사원증,안마실/안마의자
조직문화: 야근강요안함,자유로운연차사용
리프레시: 연차,반차,근로자의날휴무",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,0
44,44,(주)컴트루테크놀로지,[AI 인공지능/정보보안] 개발자 부문 – C/C++(취업축하금 지급),2024.01.18,서울 마포구,신입·경력 1년 ↑,대졸(4년제) 이상(예정자 가능),"연봉 3,300만원(주 40시간)","정규직,인턴직",주 5일(월~금) 09:00~18:00,면접 후 결정,,"Linux 기반 환경에서 C/C++을 이용한 솔루션 개발
실시간 네트워크 패킷 분석 및 처리 기능 개발","C/C++ 개발 경험
Linux,Unix 다뤄본 경험
script 언어 사용 경험","Go 언어 경험
TCP/IP 스택을 알고 계신분
테스트 코드 작성의 필요성을 알고 계신 분
문제를 스스로 정의하고 해결할 수 있는 능력을 갖추신 분","지원금/보험: 건강검진,각종경조사지원
급여제도: 퇴직연금,인센티브제,장기근속자포상,우수사원포상,스톡옵션,퇴직금,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,신규입사자교육(OJT),자격증취득지원,자기계발비지원,구내식당(사원식당),저녁식사제공,음료제공(차,커피)
근무환경: 카페테리아,노트북
조직문화: 회식강요안함
출퇴근: 회사차량있음
리프레시: 연차,여름휴가,반차,근로자의날휴무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,"이력서,자기소개서","입사지원 서류에 허위사실이 반견될 경우, 채용 확정 이후라도 채용이 취소될 수 있으며 위조 문서는 법적 책임을 지게 될 수 있습니다.
채용공고 내용과 무관하게 지속적으로 지원하는 분들은 온라인 실업인정을 위한 허위/ 형식적 구직활동 등 부정행위로 가늠하여 해당 사이트를 통해 제재 조치를 할 수 있습니다."
45,45,(주)지에스,소프트웨어 개발,상시채용,경기 용인시 기흥구,무관(신입 포함),학력무관,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,개발자,,Cortex M/H계열 MCU기반 Firmware 개발,"공인어학성적 소지자
프로그래밍 언어 가능","전자/전산/컴퓨터 전공자 우대
Micro-processor Firmware 가능자","복리후생(인센티브/경조금지원)
선물(명절선물)
교육(직무향상교육/어학교육지원)
편의(기숙사지원/체력단련지원)",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"향후 지원사항이 허위로 판명될 경우, 입사(합격)을 취소할 수 있음
취업보호 대상자 및 장애인은 관계 법령에 의거하여 우대
해외여행에 결격 사유가 없는 자
채용탈락 시, 모집완료 후 14일 이내 제출된 모든 서류는 파기 처분함"
46,46,(주)빅앤딥,"응용소프트웨어, M&S, 인공지능, 임베디드 등 개발자 채용",2024.02.15,서울 송파구,신입·경력(년수 무관),대졸(4년제) 이상(예정자 가능),"초봉 3,600만원~",정규직 수습기간 3개월,주 5일 09:30~18:30,개발자,,응용소프트웨어 개발,"C++ 활용 가능, 능동적",관련학과 전공자,0,서류전형 > 면접전형 > 최종합격,"사람인 입사지원,홈페이지 지원,우편지원,전화지원",자유양식,0
47,47,(주)포딕스시스템,"응용 소프트웨어 개발자(MFC,C++) 모집",2024.02.15,서울 구로구,경력 5년↑,학력무관,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,면접 후 결정/팀원,,"당사 솔루션 개발, 응용소프트웨어 개발",0,"Visual C++(MFC,Win API)개발 경력 10년 이상
Windows→Linux 포팅 경험자
영상관제/영상분석 SW 개발 경험자
영상 보안 장치 개발 경력 우대
Video Encoding/ Decoding 개발 경력 우대
Video Streaming 개발 경력 우대
전자/정보통신/컴퓨터공학 관련 계열 또는 자격증 보유자
인공지능/딥러닝 개발 경력(Tensorflow/Python/CNN/DNN/etc)
OS:Linux,Windows","급여제도: 인센티브제,4대보험
선물: 명절선물/귀향비
교육/생활: 워크샵,플레이샵,신규입사자교육(OJT),직무능력향상교육,구내식당(사원식당),식비지원,음료제공(차,커피)
근무환경: 카페테리아
조직문화: 자유복장
리프레시: 연차,여름휴가",서류전형 > 면접전형 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
48,48,(주)이지로보틱스,(주)이지로보틱스 연구소 신입사원 채용,2024.02.04,경기 수원시,신입,대졸(4년제) 이상(예정자 가능),"연봉 4,700만원",정규직 수습기간 3개월,09:00~18:00,"연구원,주임연구원,선임연구원",,Windows 응용 SW 개발,0,"관련학과 전공자
개발 가능자","사내멘토링제도,근무시간선택제도,추가적전직원상해보험,식사무상제공,종합건강검진추가지원,대체휴가제도및연차수당,주택자금대출제도,각종동호회지원,휴양리조트운영,자녀학비지원,생일자,결혼기념일축하금,다과무한제공,독감접종비지원,우수사원및장기근속자포상,각종경조사지원",서류전형 > 면접전형 > 최종합격,사람인 입사지원,"자사양식 입사지원서,최종학교성적증명서/졸업증명서, 자격증사본,어학증명서사본","지원서에 지원분야와 희망연봉을 반드시 표기해 주셔야 합니다.
제출 서류가 누락될 경우 서류 심사에서 제외될 수 있습니다.
입사지원서의 내용이 사실과 다를 경우, 합격이 취소될 수 있으니 유의하여 주시기 바랍니다."
49,49,(주)마이띵스,[정규/신입·경력] C/C++ 소프트웨어 개발자 모집,,서울 마포구,신입·경력 5년↓,"대졸(2,3년제) 이상(예정자 가능)",면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,개발자,,"Desktop Application 개발
IoT 제품 펌웨어 개발 및 유지보수","C/C++ 프로그래밍 역량
새로운 기술 도입에 거부감 없고 관심 많은 분
해외여행 결격사유 없으신분","다양한 운영체제에서의 개발 경험(Linux,MacOS,Windows)
Qt framework 사용 경험(QML)
네트워크,멀티쓰레드 프로그래밍 개발 경험
아두이노, 라즈베리파이 등 임베디드 개발 경험
CCTV,NVR,VMS 관련 프로그램 개발 경험
GIS 관련 프로그램 개발 경험
Git,JIRA 등 형상관리 시스템 사용경험
컴퓨터공학 계열 전공자
-해당직무 근무경험,Git,JIRA등 형상관리 시스템 사용 경험","지원금/보험: 각종경조사지원
급여제도: 인센티브제,상여금,우수사원포상,퇴직금,야근수당,휴일(특근)수당,4대보험
선물: 명절선물/귀향비,생일선물/파티,웰컴키트지급
교육/생활: 직무능력향상교육,간식제공
근무환경: 회의실
조직문화: 회식강요안함,야근강요안함,자유복장,자유로운연차사용
출퇴근: 탄력근무제,재택근무",서류전형 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,사람인 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
50,50,(주)지엔텔,(주)지엔텔  ‘24년 검증 부문(개발 Part) 신입 및 경력사원 채용,,인천 서구,신입·경력 2년 ↑,"대졸(2,3년제) 이상",면접 후 결정,정규직 수습기간 3개월,0,개발자,,Connected Car NAD Progocol 개발분석,"전기,전자,통신 관련 학과 전공자",모바일 또는 차량용 제폼 모뎀 SW 개발,"지원금/보험: 건강검진,의료비지원(본인),각종경조사지원,의료비지원(가족),복지카드/포인트,자녀학자금
급여제도: 퇴직연금,장기근속자포상,우수사원포상,퇴직금,성과급,야근수당,휴일(특근)수당,직책수당,4대보험
교육/생활: 우수사원시상식,신규입사자교육(OJT),직무능력향상교육,리더십강화교육,도서구입비지원,사내동호회운영,사우회(경조사회),식비지원,음료제공(차,커피),우리사주제도
근무환경: 수유실,회의실,장애인화장실,장애인전용주차장,문턱없음,노트북,사원증,콘도/리조트이용권,사무용품지급
조직문화: 노조/노사협의회,자유복장,자유로운연차사용,출산장려
출퇴근: 주 52시간제 준수
리프레시: 연차,여름휴가,경조휴가제,반차,Refresh휴가,창립일휴무,근로자의날휴무,포상휴가,산전후휴가,육아휴직,남성출산휴가,휴양시설제공",서류전형 > 인적성검사 > 1차면접 > 2차면접 > 최종합격,사람인 입사지원,자사양식,"수습기간 3개월을 부여합니다.[급여 100% 지급]
국가보훈대상자 및 장애인은 관련 법령에 의거 우대합니다.
회사정보 및 복리후생제도는 (주)지엔텔 홈페이지를 참조하시기 바랍니다.
입사지원서에 기재된 내용이 사실과 다를 경우 채용이 취소될 수 있습니다.
입사지원서는 당사 양식으로 제출한 경우 서류전형 시 우대합니다."
51,51,(주)삼원테크,기술연구소 S/W,,경기 부천시,신입,대졸이상(졸업예정자 가능),면접 후 결정,정규직,주 5일(월~금),"사원,대리",,소프트웨어 개발,C++/C#/QT개발가능자,"임베디드 리눅스 기반 개발 경험자
비흡연자","연금/보험: 국민연금,고용보험,산재보험,건강보험
휴무/휴가/행사: 주5일제,정기휴가,경조휴가
보상/수당/지원: 퇴직금,경조금,인센티브,자녀교육비,장기근속포상,우수사원포상제도
사내시설: 기숙사지원
편의/여가/건강: 건강검진,점심식사지원",서류전형 > 면접전형 > 최종합격,잡코리아 입사지원,"이력서,자기소개서,고교생활기록부,졸업증명서,최종학력증명서, 포트폴리오,인적성검사서","지원서 마감후 1차(서류) 합격자에 한하여 개별연락
제출된 서류는 일체 반환하지 않습니다.
국가 유공자는 관련법에 의거하여 우대
마감은 채용진행에 따라 조기마감될 수도 연장될 수도 있습니다."
52,52,(주)앤에이치씨,소프트웨어개발 엔지니어 채용,,인천 연수구,신입·경력,초대졸이상,면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,면접 후 결정,,"장비 시스템 소프트웨어 개발
Library, GUI 개발
머신비젼 및 UI설계 구현","계획성,성취지향성,적응성,성장지향성 등","전산학/컴퓨터공학,응용소프트웨어공학,정보/통신공학 전공자","연금/보험: 국민연금,고용보험,산재보험,건강보험
휴무/휴가/행사: 경조휴가
보상/수당/지원: 퇴직금,회식비지원
편의/여가/건강: 점심식사지원,저녁식사지원",서류전형 > 면접전형 > 최종합격,잡코리아 입사지원,잡코리아 이력서,허위사실이 발견될 경우 채용이 취소될 수 있습니다.
53,53,태하메카트로닉스(주),리눅스 어플리케이션 개발부문 신입/경력 직원 모집,,경기 안양시,신입·경력,초대졸이상(졸업예정자 가능),회사내규에 따름,정규직 수습기간 3개월,주 5일(월~금) 09:00~17:00,개발자,,"리눅스 어플리케이션 개발
이미지 프로세싱/머신러닝","C,C++프로그램 가능자","C,C++ 프로그램 가능자
연구소 소속 - 전문연구요원 근무 가능","연금/보험: 국민연금,고용보험,산재보험,건강보험
보상/수당/지원: 퇴직금",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,"이력서,포트폴리오",허위사실이 발견될 경우 채용이 취소될 수 있습니다.
54,54,(주)펨트론,SW그룹 AOI팀 AOI-3파트(SW),,서울시 금천구,신입·경력 2년 ↑,대졸이상(졸업예정자 가능),회사내규에 따름,정규직,주 5일(월~금) 09:00~18:00,사원/팀원,,"응용프로그램/소프트웨어 개발
영상처리 개발",C# Winform/C++,"컴퓨터/시스템공학
운전 가능자","급여제도: 장기근속자포상,우수사원포상,상여금지급
수당제도: 야근수당,휴일(특근)수당,연/월차수당
지원금: 장기근속자직원대출,각종경조사지원,유료건강검진지원
식사: 조식무료제공(회사주변카페),점심/저녁식사무료제공(구내식당),음료제공(차,커피)
선택적복지제도: 복지포인트지원
교육/훈련: 신입사원교육(OJT),직무교육지원,도서구입비지원",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,"이력서,자기소개서",0
55,55,에이엠텔레콤(주),SW Application 개발 신입/경력 채용 모집,,경기 과천시,신입·경력 1년 ↑,대졸이상(졸업예정자 가능),회사내규에 따름,정규직,주 5일(월~금) 09:00~18:00,개발자,,SW Application 개발,0,"OS 경험:Linux,Android,RTOS,Windows 등
컴퓨터공학,정보통신공학,전자공학 전공자 우대","연금/보험: 국민연금,고용보험,산재보험,건강보험
휴무/휴가/행사: 주5일제,연차제도,월차제도,경조휴가,출산휴가,육아휴직,남성출산휴가,노동절휴무
보상/수당/지원: 인센티브,사내대출,장기근속포상,명절선물/명절상여,야간교통비지급,휴가비,우리사주제도,복리후생지원
편의/여가/건강: 사내동호회,점심식사지원,휴양시설",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,잡코리아 이력서,허위사실이 발견될 경우 채용이 취소될 수 있습니다.
56,56,(주)젬백스링크,[코스닥상장] Linux C/C++ 메시징솔루션개발 신입/경력 개발자 모집,,서울 영등포구,신입·경력 2년 ↑,초대졸이상,회사내규에 따름,정규직 수습기간 3개월,주 5일(월~금) 09:30~18:30,팀원,,Unix/Linux C/C++ 서버 개발,Unix/Linux C/C++ 기반 실무 경험자,"메시징 솔루션 서버개발 경험자
이동통신사 개발 경험자
Open Source 경험자 및 Core Network 시스템 개발 경험자
DBMS 관련 경험자
새로운 기술에 대해 관심이 많고, 자기개발을 위해 노력하시는 분","연금/보험: 국민연금,고용보험,산재보험,건강보험,퇴직연금
휴무/휴가/행사: 주5일제,연차제도,경조휴가,반차제도,출산휴가,육아휴직,남성출산휴가,창립일행사,워크샵/MT,체육대회,야유횜
보상/수당/지원: 퇴직금,경조금,정기보너스,자녀교육비,사내대출,장기근속포상,우수사원포상제도,가족의료비지원,임직원교육비,자기개발지원,장기근속수당,명절선물/명절상여,주차지원,야간교통비지급,도서구입비지원,임직원할인
사내제도/성장: 신입사원교육,직무능력향상교육,리더쉽강화교육
사내시설: 휴식공간,카페테리아,사내도서관,사내정원,주차장,흡연공간
편의/여가/건강: 사내동호회,건강검진,저녁식사지원,아침식사지원,휴양시설",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,잡코리아 이력서,허위사실이 발견될 경우 채용이 취소될 수 있습니다.
57,57,에스넷아이씨티(주),[기술연구소] 5G 시스템 개발자 모집,,경기 성남시,신입·경력,학력무관,회사내규에 따름,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,사원/팀원,,"이동통신(LTE,5G,WiFi) 시스템 개발
FPGA 프로그램 연구/ 개발
ETRI 국책과제 수행 및 제품개발 프로젝트 지원","C/C++프로그래밍 경험자,Linux 사용자","영어능력 우수자
동종업계 경력자 및 관련학과 졸업자
커뮤니케이션 능력 및 끈기","연금/보험: 국민연금,고용보험,산재보험,건강보험,퇴직연금
휴무/휴가/행사: 주5일제,정기휴가,포상휴가,출산휴가,창립일휴무,워크샵/MT,주말휴무
보상/수당/지원: 퇴직금,경조금,자격증수당,도서구입비지원,성과급,복리후생지원,회식비지원
사내시설: 쾌적한업무공간",서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격,잡코리아 입사지원,잡코리아 이력서,허위사실이 발견될 경우 채용이 취소될 수 있습니다.
58,58,포인트아이(주),[신입/경력] 이동통신 사업자 ICT 시스템 개발,,서울시 강남구,신입·경력,초대졸이상(졸업예정자 가능),"연봉 3,500만원 이상",정규직,주 5일(월~금) 09:00~18:00,사원/팀원,,ICT 서비스 시스템 개발,"Linux시스템 활용 가능
네트워크에 대한 전반적인 이해","관련 자격증 보유
ICT 유관업무 경력자
자격증:정보처리기사 및 SCJP 등
전산학/컴퓨터공학,응용소프트웨어공학,정보/통신공학 등 IT관련","연금/보험: 국민연금,고용보험,산재보험,건강보험,퇴직연금
휴무/휴가/행사: 주5일제,연차제도,경조휴가,반차제도,위로휴가,리프레시휴가,출산휴가,생일휴가,노동절휴무,창립기념일휴무,법정근로휴무
보상/수당/지원: 경조금,야간근로수당,휴일근로수당,특허등록포상,우수사원포상,야간교통지원,국내/외출장지원,프로젝트경비지원,명절선물,리프레시휴가지원
사내제도/성장: 주40시간
편의/여가/건강: 건강검진-2년(40세미만)/1회,저녁식사지원,리조트제휴
교육: 법정의무교육,직무관련교육,도서구입지원,온라인교육지원,워크샵",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,"이력서,포트폴리오",0
59,59,BIMPeers,[신입] SW개발 엔지니어 채용,,서울시 서초구,신입,대졸이상(졸업예정자 가능),면접 후 결정,정규직 수습기간 3개월,주 5일(월~금) 09:00~18:00,사원,,Window기반 응용프로그램 개발,객체지향 프로그래밍 이해,"컴퓨터/시스템공학, 건축/건설관련 학과
정보처리관련 자격증
배움에 대한 열정이 있고 함께 성장해 나갈 수 있는 분
적극적, 긍정적 협업 마인드 있는 분","매월 도서,운동,병원,공연등 자기계발비 제공
업무에 필요한 프로그래밍 전공 서적 제공
매월 마지막주 금요일 오전근무
자율연차사용 및 자율복장
생일 선물 제공",서류전형 > 면접전형 > 최종합격,잡코리아 입사지원,"이력서,포트폴리오","입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
60,60,(주)로엔,2024 로엔 신입/경력사원모집,,경기 일산,신입·경력,학력무관,"연봉 3,500만원",정규직 수습기간 3개월,주 5일(월~금) 09:00~,엔지니어,,FA시스템 엔지니어링,88년 이후 출생자/해외여행에 결격사유 없는 자,"전기/전자공학, 컴퓨터/시스템공학 등 공학계열
프로그래밍언어 가능자(C,C#,C++의 이해 및 구현)
PLC프로그래밍 및 3D 운용 가능자(솔리드윅스 등)
영어가능자","매년우수사원포상,PJ별인센티브지급,차량지원or차량지원금지급,출산지원금지급,근속포상금및해외여행지원,가족외식비지급,명절상여및여름휴가비지급,퇴직연금및4대보험",서류전형 > 1차면접 > 2차면접 > 최종합격,잡코리아 입사지원,잡코리아 이력서,"입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
